L	Ls	nvertices	F_L	F_L_constrained	rho_sum	nloops	regions
657	  0	  0	           0	           0	           0	 0	[(0, 657)]
658	  0	  0	           0	           0	           0	 0	[(0, 658)]
659	  0	  0	           0	           0	           0	 0	[(0, 659)]
660	  0	  0	           0	           0	           0	 0	[(0, 660)]
661	  0	  0	           0	           0	           0	 0	[(0, 661)]
662	  0	  0	           0	           0	           0	 0	[(0, 662)]
663	  0	  0	           0	           0	           0	 0	[(0, 663)]
664	  0	  0	           0	           0	           0	 0	[(0, 664)]
665	  0	  0	           0	           0	           0	 0	[(0, 665)]
666	  0	  0	           0	           0	           0	 0	[(0, 666)]
667	  0	  0	           0	           0	           0	 0	[(0, 667)]
668	  0	  0	           0	           0	           0	 0	[(0, 668)]
669	  0	  0	           0	           0	           0	 0	[(0, 669)]
670	  0	  0	           0	           0	           0	 0	[(0, 670)]
671	  0	  0	           0	           0	           0	 0	[(0, 671)]
672	  0	  0	           0	           0	           0	 0	[(0, 672)]
673	  0	  0	           0	           0	           0	 0	[(0, 673)]
674	  0	  0	           0	           0	           0	 0	[(0, 674)]
675	  0	  5	   -0.531702	   -0.531702	    0.537227	 0	[(0, 675)]
676	  0	  5	   -0.531702	   -0.531702	    0.537227	 0	[(0, 676)]
677	  0	  7	   -0.531702	     5.80706	    0.693449	 1	[(0, 677)]
678	  0	 10	   -0.531702	     5.95553	     0.68351	 1	[(0, 678)]
679	  0	 11	   -0.531702	     8.59099	     5.17407	 1	[(0, 679)]
680	  0	 14	   -0.531702	     9.95912	     6.77864	 1	[(0, 680)]
681	  0	 15	   -0.531702	     9.81228	     8.25588	 1	[(0, 681)]
682	  0	 19	   -0.531702	     10.5345	     11.6797	 1	[(0, 682)]
683	  0	 21	   -0.531702	     11.0357	     13.5989	 1	[(0, 683)]
684	  0	 22	   -0.531702	     9.96115	     15.4547	 1	[(0, 684)]
685	  0	 22	   -0.531702	     9.96115	     15.4547	 1	[(0, 685)]
686	  0	 22	   -0.531702	     9.96115	     15.4547	 1	[(0, 686)]
687	683	  2	   -0.531702	     3.74337	    0.243342	 1	[(683, 687)]
688	683	  4	   -0.531702	     2.32743	    0.286253	 1	[(683, 688)]
689	683	  6	   -0.531702	     2.53522	    0.247228	 1	[(683, 689)]
690	683	  7	   -0.531702	     2.35814	    0.250785	 1	[(683, 690)]
691	683	  7	   -0.531702	     2.35814	    0.250785	 1	[(683, 691)]
692	683	  7	   -0.531702	     2.35814	    0.250785	 1	[(683, 692)]
693	683	  8	   -0.531702	     2.23021	    0.373103	 1	[(683, 693)]
694	683	  8	   -0.531702	     2.23021	    0.373103	 1	[(683, 694)]
695	683	  9	   -0.531702	     2.10537	    0.493993	 1	[(683, 695)]
696	683	  9	   -0.531702	     2.10537	    0.493993	 1	[(683, 696)]
697	683	  9	   -0.531702	     2.10537	    0.493993	 1	[(683, 697)]
698	683	  9	   -0.531702	     2.10537	    0.493993	 1	[(683, 698)]
699	683	  9	   -0.531702	     2.10537	    0.493993	 1	[(683, 699)]
700	683	  9	   -0.531702	     2.10537	    0.493993	 1	[(683, 700)]
701	683	  9	   -0.531702	     2.10537	    0.493993	 1	[(683, 701)]
702	683	  9	   -0.531702	     2.10537	    0.493993	 1	[(683, 702)]
703	683	  9	   -0.531702	     2.10537	    0.493993	 1	[(683, 703)]
704	683	 13	   -0.531702	     1.85902	    0.743395	 1	[(683, 704)]
705	683	 13	   -0.531702	     1.85902	    0.743395	 1	[(683, 705)]
706	683	 13	   -0.531702	     1.85902	    0.743395	 1	[(683, 706)]
707	690	  9	   -0.531702	     9.87425	    0.655442	 2	[(690, 707)]
708	690	 11	   -0.531702	     10.1936	    0.553457	 2	[(690, 708)]
709	690	 12	   -0.531702	     13.2975	     5.55219	 2	[(690, 709)]
710	690	 14	   -0.531702	      10.707	      8.1189	 2	[(690, 710)]
711	690	 16	   -0.531702	     8.43051	     10.7174	 1	[(690, 711)]
712	690	 17	   -0.531702	      5.1958	     12.5237	 1	[(690, 712)]
713	690	 18	   -0.531702	     5.97231	     12.8606	 1	[(690, 713)]
714	690	 18	   -0.531702	     5.97231	     12.8606	 1	[(690, 714)]
715	690	 19	   -0.531702	       5.547	     13.2133	 1	[(690, 715)]
716	690	 20	   -0.531702	     3.47671	     14.3117	 1	[(690, 716)]
717	690	 21	   -0.531702	     4.09358	     14.4342	 1	[(690, 717)]
718	690	 22	   -0.531702	     4.41953	     14.3277	 1	[(690, 718)]
719	  0	 52	   -0.531702	     5.95985	     36.9707	 4	[(0, 719)]
720	  0	 55	   -0.531702	     3.23384	     40.8385	 3	[(0, 720)]
721	  0	 58	   -0.531702	     1.89051	     44.7544	 3	[(0, 721)]
722	  0	 60	   -0.531702	     1.26469	     47.5301	 3	[(0, 722)]
723	  0	 62	   -0.531702	     2.36586	     49.6631	 3	[(0, 723)]
724	  0	 63	   -0.531702	      3.0406	     50.2458	 3	[(0, 724)]
725	  0	 64	   -0.531702	      3.4989	     50.5899	 3	[(0, 725)]
726	  0	 64	   -0.531702	      3.4989	     50.5899	 3	[(0, 726)]
727	  0	 65	   -0.531702	     5.27682	     50.7426	 4	[(0, 727)]
728	  0	 66	   -0.531702	     5.40837	     50.7541	 4	[(0, 728)]
729	  0	 68	   -0.531702	     3.23603	      50.204	 3	[(0, 729)]
730	  0	 69	   -0.531702	     4.97155	     55.3943	 3	[(0, 730)]
731	  0	 70	   -0.531702	     3.37608	      55.682	 3	[(0, 731)]
732	  0	 71	   -0.531702	     1.54021	     57.0338	 3	[(0, 732)]
733	  0	 72	   -0.531702	   -0.127228	     58.0661	 3	[(0, 733)]
734	  0	 73	    -1.95906	    -1.95906	     59.0687	 3	[(0, 734)]
735	  0	 74	    -3.08014	    -3.08014	     60.0148	 3	[(0, 735)]
736	  0	 75	     -3.1858	     -3.1858	     60.7624	 3	[(0, 736)]
737	  0	 75	     -3.1858	     -3.1858	     60.7624	 3	[(0, 737)]
738	  0	 76	     -3.1858	    -1.49456	     61.1404	 4	[(0, 738)]
739	  0	 77	     -3.1858	     -1.3074	     61.1868	 4	[(0, 739)]
740	  0	 78	     -3.1858	    -1.21365	     61.1183	 4	[(0, 740)]
741	  0	 79	    -3.21792	    -3.21792	     62.1732	 4	[(0, 741)]
742	  0	 80	    -5.41953	    -5.41953	     63.3193	 4	[(0, 742)]
743	  0	 81	    -8.07643	    -8.07643	     64.5199	 4	[(0, 743)]
744	  0	 82	    -8.07643	     -7.8835	     65.1869	 4	[(0, 744)]
745	  0	 83	    -8.07643	    -7.29764	     65.2715	 4	[(0, 745)]
746	  0	 84	    -8.07643	    -4.79755	     67.1242	 6	[(0, 746)]
747	  0	 86	    -8.07643	     -6.3308	     71.3131	 7	[(0, 747)]
748	  0	 88	    -9.60771	    -9.60771	     75.7479	 6	[(0, 748)]
749	  0	 90	    -16.4089	    -16.4089	     79.4068	 5	[(0, 749)]
750	  0	 91	     -18.397	     -18.397	     80.8005	 5	[(0, 750)]
751	  0	 92	     -18.397	    -17.7331	     81.2086	 5	[(0, 751)]
752	  0	 93	     -18.397	    -17.2479	     81.1719	 5	[(0, 752)]
753	  0	 93	     -18.397	    -17.2479	     81.1719	 5	[(0, 753)]
754	  0	 93	     -18.397	    -17.2479	     81.1719	 5	[(0, 754)]
755	  0	 93	     -18.397	    -17.2479	     81.1719	 5	[(0, 755)]
756	  0	 93	     -18.397	    -17.2479	     81.1719	 5	[(0, 756)]
757	  0	 93	     -18.397	    -17.2479	     81.1719	 5	[(0, 757)]
758	  0	 93	     -18.397	    -17.2479	     81.1719	 5	[(0, 758)]
759	  0	 95	     -18.397	    -17.7952	     82.8129	 5	[(0, 759)]
760	  0	 97	     -18.397	    -16.9807	     83.1253	 5	[(0, 760)]
761	  0	 97	     -18.397	    -16.9807	     83.1253	 5	[(0, 761)]
762	  0	 97	     -18.397	    -16.9807	     83.1253	 5	[(0, 762)]
763	  0	 97	     -18.397	    -16.9807	     83.1253	 5	[(0, 763)]
764	  0	 97	     -18.397	    -16.9807	     83.1253	 5	[(0, 764)]
765	  0	 99	     -18.397	    -13.8069	     81.9659	 6	[(0, 765)]
766	  0	101	     -18.397	    -13.2432	      81.611	 6	[(0, 766)]
767	  0	102	     -18.397	    -10.7387	     87.2737	 6	[(0, 767)]
768	  0	104	     -18.397	    -11.9874	     90.6217	 6	[(0, 768)]
769	  0	105	     -18.397	    -17.1891	     91.8793	 6	[(0, 769)]
770	  0	105	     -18.397	    -17.1891	     91.8793	 6	[(0, 770)]
771	  0	105	     -18.397	    -17.1891	     91.8793	 6	[(0, 771)]
772	  0	106	     -18.397	    -17.3351	     92.0171	 6	[(0, 772)]
773	  0	106	     -18.397	    -17.3351	     92.0171	 6	[(0, 773)]
774	  0	106	     -18.397	    -17.3351	     92.0171	 6	[(0, 774)]
775	  0	108	     -18.397	    -17.4566	      92.149	 6	[(0, 775)]
776	  0	108	     -18.397	    -17.4566	      92.149	 6	[(0, 776)]
777	  0	108	     -18.397	    -17.4566	      92.149	 6	[(0, 777)]
778	  0	108	     -18.397	    -17.4566	      92.149	 6	[(0, 778)]
779	  0	110	     -18.397	    -17.5785	     92.2716	 6	[(0, 779)]
780	  0	112	     -18.397	    -12.5349	     93.4609	 7	[(0, 780)]
781	  0	113	     -18.397	    -14.0431	     94.8043	 7	[(0, 781)]
782	  0	114	     -18.397	    -16.1636	      96.084	 7	[(0, 782)]
783	  0	115	     -18.397	    -15.5105	     96.4551	 7	[(0, 783)]
784	  0	118	     -18.397	    -12.7298	     98.2659	 8	[(0, 784)]
785	  0	119	     -18.397	    -11.8722	     100.349	 8	[(0, 785)]
786	  0	121	     -18.397	    -10.5694	     102.918	 8	[(0, 786)]
787	  0	122	     -18.397	    -11.6554	     104.988	 8	[(0, 787)]
788	  0	123	     -18.397	    -11.4561	     105.634	 8	[(0, 788)]
789	  0	124	     -18.397	    -11.0006	      105.83	 8	[(0, 789)]
790	  0	124	     -18.397	    -11.0006	      105.83	 8	[(0, 790)]
791	  0	124	     -18.397	    -11.0006	      105.83	 8	[(0, 791)]
792	  0	125	     -18.397	    -11.8929	     106.522	 8	[(0, 792)]
793	  0	125	     -18.397	    -11.8929	     106.522	 8	[(0, 793)]
794	  0	126	     -18.397	    -12.3286	      106.98	 8	[(0, 794)]
795	  0	126	     -18.397	    -12.3286	      106.98	 8	[(0, 795)]
796	  0	126	     -18.397	    -12.3286	      106.98	 8	[(0, 796)]
797	  0	126	     -18.397	    -12.3286	      106.98	 8	[(0, 797)]
798	  0	126	     -18.397	    -12.3286	      106.98	 8	[(0, 798)]
799	  0	128	     -18.397	    -12.5894	     107.231	 8	[(0, 799)]
800	  0	128	     -18.397	    -12.5894	     107.231	 8	[(0, 800)]
801	  0	130	     -18.397	    -12.7471	     107.441	 8	[(0, 801)]
802	  0	131	     -18.397	    -14.4973	     111.001	 8	[(0, 802)]
803	  0	131	     -18.397	    -14.4973	     111.001	 8	[(0, 803)]
804	  0	133	     -18.397	    -14.2147	     110.789	 8	[(0, 804)]
805	  0	134	     -18.397	    -14.2072	     110.787	 8	[(0, 805)]
806	  0	136	     -18.397	    -13.5834	     110.374	 8	[(0, 806)]
807	  0	136	     -18.397	    -13.5834	     110.374	 8	[(0, 807)]
808	  0	137	     -18.397	    -5.99518	     115.284	10	[(0, 808)]
809	  0	138	     -18.397	    -14.5705	     116.777	 9	[(0, 809)]
810	  0	139	    -20.0669	    -20.0669	     119.052	 9	[(0, 810)]
811	  0	141	    -20.0669	    -9.77416	     121.302	11	[(0, 811)]
812	  0	143	    -20.0669	    -13.0902	     123.219	11	[(0, 812)]
813	  0	145	    -20.0669	    -15.8461	     125.992	11	[(0, 813)]
814	  0	147	    -21.2671	    -21.2671	     128.193	10	[(0, 814)]
815	  0	148	    -21.2671	    -20.9867	     128.873	10	[(0, 815)]
816	  0	149	    -21.2671	    -20.3781	     128.916	10	[(0, 816)]
817	  0	150	    -21.2671	    -20.2152	     128.787	10	[(0, 817)]
818	  0	150	    -21.2671	    -20.2152	     128.787	10	[(0, 818)]
819	  0	152	    -21.2671	    -19.1601	     129.098	11	[(0, 819)]
820	  0	153	    -21.2671	    -18.8729	     131.305	11	[(0, 820)]
821	  0	154	    -21.2671	    -20.3632	       133.5	11	[(0, 821)]
822	  0	155	    -22.7463	    -22.7463	     134.648	11	[(0, 822)]
823	  0	156	    -25.8648	    -25.8648	     135.793	11	[(0, 823)]
824	  0	158	    -28.6745	    -28.6745	     137.249	11	[(0, 824)]
825	  0	159	    -29.9406	    -29.9406	     138.936	11	[(0, 825)]
826	  0	160	    -29.9406	    -29.7865	     139.931	11	[(0, 826)]
827	  0	161	    -30.5491	    -30.5491	     141.384	11	[(0, 827)]
828	  0	162	    -30.5491	    -29.5254	     142.494	12	[(0, 828)]
829	  0	163	    -34.2496	    -34.2496	     143.817	12	[(0, 829)]
830	  0	164	     -35.821	     -35.821	     144.778	12	[(0, 830)]
831	  0	165	    -38.3885	    -38.3885	      145.81	12	[(0, 831)]
832	  0	166	    -40.6684	    -40.6684	     146.833	12	[(0, 832)]
833	  0	167	    -43.7365	    -43.7365	     148.035	12	[(0, 833)]
834	  0	168	    -45.0621	    -45.0621	     149.378	12	[(0, 834)]
835	  0	170	    -46.9362	    -46.9362	      151.65	11	[(0, 835)]
836	  0	171	     -47.147	     -47.147	     154.078	11	[(0, 836)]
837	  0	172	     -47.147	    -46.9052	     154.802	11	[(0, 837)]
838	  0	174	     -47.147	    -46.5415	     157.694	12	[(0, 838)]
839	  0	175	    -47.2414	    -47.2414	     159.417	12	[(0, 839)]
840	  0	177	    -48.0755	    -48.0755	     161.534	11	[(0, 840)]
841	  0	178	    -50.2037	    -50.2037	     162.759	11	[(0, 841)]
842	  0	179	     -51.578	     -51.578	     164.172	11	[(0, 842)]
843	  0	180	     -51.578	    -50.9857	      164.59	11	[(0, 843)]
844	  0	180	     -51.578	    -50.9857	      164.59	11	[(0, 844)]
845	  0	180	     -51.578	    -50.9857	      164.59	11	[(0, 845)]
846	  0	180	     -51.578	    -50.9857	      164.59	11	[(0, 846)]
847	  0	180	     -51.578	    -50.9857	      164.59	11	[(0, 847)]
848	  0	182	     -51.578	    -51.2418	     164.833	11	[(0, 848)]
849	  0	182	     -51.578	    -51.2418	     164.833	11	[(0, 849)]
850	  0	182	     -51.578	    -51.2418	     164.833	11	[(0, 850)]
851	  0	182	     -51.578	    -51.2418	     164.833	11	[(0, 851)]
852	  0	182	     -51.578	    -51.2418	     164.833	11	[(0, 852)]
853	  0	182	     -51.578	    -51.2418	     164.833	11	[(0, 853)]
854	  0	185	     -51.578	    -47.3463	     165.129	12	[(0, 854)]
855	  0	187	     -51.578	    -48.8721	     165.101	12	[(0, 855)]
856	  0	189	     -51.578	    -46.5299	     170.393	11	[(0, 856)]
857	  0	190	     -51.578	    -46.7357	     170.818	11	[(0, 857)]
858	  0	191	     -51.578	    -46.9227	     171.423	11	[(0, 858)]
859	  0	192	     -51.578	    -47.1145	     172.821	11	[(0, 859)]
860	  0	193	     -51.578	    -47.2566	      173.82	11	[(0, 860)]
861	  0	194	     -51.578	    -47.6782	     174.919	11	[(0, 861)]
862	  0	195	     -51.578	    -48.1654	     176.031	11	[(0, 862)]
863	  0	196	     -51.578	    -48.3322	     176.871	11	[(0, 863)]
864	  0	197	     -51.578	    -48.6177	     177.744	11	[(0, 864)]
865	  0	198	     -51.578	     -48.082	     177.705	11	[(0, 865)]
866	  0	199	     -51.578	    -47.9113	     177.377	11	[(0, 866)]
867	  0	199	     -51.578	    -47.9113	     177.377	11	[(0, 867)]
868	  0	199	     -51.578	    -47.9113	     177.377	11	[(0, 868)]
869	  0	199	     -51.578	    -47.9113	     177.377	11	[(0, 869)]
870	  0	199	     -51.578	    -47.9113	     177.377	11	[(0, 870)]
871	  0	199	     -51.578	    -47.9113	     177.377	11	[(0, 871)]
872	  0	203	     -51.578	    -43.8284	     177.328	12	[(0, 872)]
873	  0	205	     -51.578	    -45.5827	     177.342	12	[(0, 873)]
874	  0	207	     -51.578	    -47.9319	     177.252	11	[(0, 874)]
875	  0	208	     -51.578	    -42.3747	      183.35	11	[(0, 875)]
876	  0	209	     -51.578	    -42.9788	     183.506	11	[(0, 876)]
877	  0	210	     -51.578	    -43.1426	     183.747	11	[(0, 877)]
878	  0	211	     -51.578	     -43.511	     184.035	11	[(0, 878)]
879	  0	212	     -51.578	    -43.9539	     185.594	11	[(0, 879)]
880	  0	213	     -51.578	    -47.2662	     187.135	11	[(0, 880)]
881	  0	214	     -51.578	    -46.7628	     187.627	11	[(0, 881)]
882	  0	215	     -51.578	     -46.215	     187.602	11	[(0, 882)]
883	  0	216	     -51.578	    -46.0885	     187.464	11	[(0, 883)]
884	  0	216	     -51.578	    -46.0885	     187.464	11	[(0, 884)]
885	  0	218	     -51.578	    -44.6729	     188.066	11	[(0, 885)]
886	  0	219	     -51.578	    -45.8566	     189.261	11	[(0, 886)]
887	  0	219	     -51.578	    -45.8566	     189.261	11	[(0, 887)]
888	  0	220	     -51.578	    -46.3338	     189.652	11	[(0, 888)]
889	  0	223	     -51.578	    -46.1327	     190.474	11	[(0, 889)]
890	  0	225	     -51.578	    -44.1653	     190.679	11	[(0, 890)]
891	  0	225	     -51.578	    -44.1653	     190.679	11	[(0, 891)]
892	  0	227	     -51.578	    -44.3104	     190.817	11	[(0, 892)]
893	  0	227	     -51.578	    -44.3104	     190.817	11	[(0, 893)]
894	  0	229	     -51.578	    -43.9868	     190.272	11	[(0, 894)]
895	  0	230	     -51.578	    -43.9981	     190.214	11	[(0, 895)]
896	  0	230	     -51.578	    -43.9981	     190.214	11	[(0, 896)]
897	  0	231	     -51.578	    -44.1413	       190.4	11	[(0, 897)]
898	  0	232	     -51.578	    -37.5954	     190.725	12	[(0, 898)]
899	  0	233	     -51.578	    -36.2652	     196.937	12	[(0, 899)]
900	  0	234	     -51.578	    -36.0322	     197.583	12	[(0, 900)]
901	  0	235	     -51.578	    -28.0298	     198.039	13	[(0, 901)]
902	  0	235	     -51.578	    -28.0298	     198.039	13	[(0, 902)]
903	  0	235	     -51.578	    -28.0298	     198.039	13	[(0, 903)]
904	  0	235	     -51.578	    -28.0298	     198.039	13	[(0, 904)]
905	  0	237	     -51.578	    -23.6312	     199.282	14	[(0, 905)]
906	  0	239	     -51.578	    -24.4984	     201.345	14	[(0, 906)]
907	  0	241	     -51.578	    -24.6563	     202.247	13	[(0, 907)]
908	  0	242	     -51.578	    -24.7436	     203.436	13	[(0, 908)]
909	  0	243	     -51.578	    -24.8405	     204.377	13	[(0, 909)]
910	  0	244	     -51.578	    -24.6645	     204.699	13	[(0, 910)]
911	  0	245	     -51.578	    -20.2771	     203.717	15	[(0, 911)]
912	  0	246	     -51.578	    -21.2543	     206.012	15	[(0, 912)]
