L	Ls	nvertices	F_L	F_L_constrained	rho_sum	nloops	regions
  1	  0	  0	           0	           0	           0	 0	[(0, 1)]
  2	  0	  0	           0	           0	           0	 0	[(0, 2)]
  3	  0	  0	           0	           0	           0	 0	[(0, 3)]
  4	  0	  0	           0	           0	           0	 0	[(0, 4)]
  5	  0	  2	           0	     3.69156	    0.356204	 1	[(0, 5)]
  6	  0	  5	           0	     2.35075	    0.270336	 1	[(0, 6)]
  7	  0	  7	           0	     4.68047	     5.47293	 0	[(0, 7)]
  8	  0	  8	           0	       4.456	     5.93025	 0	[(0, 8)]
  9	  0	  9	           0	     4.46898	     6.41443	 0	[(0, 9)]
 10	  0	 10	           0	      4.1262	      8.0375	 0	[(0, 10)]
 11	  0	 11	           0	     4.59673	     8.26383	 0	[(0, 11)]
 12	  0	 11	           0	     4.59673	     8.26383	 0	[(0, 12)]
 13	  0	 11	           0	     4.59673	     8.26383	 0	[(0, 13)]
 14	  0	 11	           0	     4.59673	     8.26383	 0	[(0, 14)]
 15	  0	 11	           0	     4.59673	     8.26383	 0	[(0, 15)]
 16	  0	 11	           0	     4.59673	     8.26383	 0	[(0, 16)]
 17	  0	 11	           0	     4.59673	     8.26383	 0	[(0, 17)]
 18	  0	 11	           0	     4.59673	     8.26383	 0	[(0, 18)]
 19	  0	 11	           0	     4.59673	     8.26383	 0	[(0, 19)]
 20	  0	 11	           0	     4.59673	     8.26383	 0	[(0, 20)]
 21	  0	 13	           0	     4.34077	     8.50597	 0	[(0, 21)]
 22	  0	 13	           0	     4.34077	     8.50597	 0	[(0, 22)]
 23	  0	 13	           0	     4.34077	     8.50597	 0	[(0, 23)]
 24	  0	 13	           0	     4.34077	     8.50597	 0	[(0, 24)]
 25	  0	 13	           0	     4.34077	     8.50597	 0	[(0, 25)]
 26	  0	 13	           0	     4.34077	     8.50597	 0	[(0, 26)]
 27	  0	 13	           0	     4.34077	     8.50597	 0	[(0, 27)]
 28	  0	 13	           0	     4.34077	     8.50597	 0	[(0, 28)]
 29	  0	 13	           0	     4.34077	     8.50597	 0	[(0, 29)]
 30	  0	 13	           0	     4.34077	     8.50597	 0	[(0, 30)]
 31	  0	 13	           0	     4.34077	     8.50597	 0	[(0, 31)]
 32	  0	 13	           0	     4.34077	     8.50597	 0	[(0, 32)]
 33	  0	 13	           0	     4.34077	     8.50597	 0	[(0, 33)]
 34	  0	 15	           0	     4.02815	      8.8736	 0	[(0, 34)]
 35	  0	 18	           0	      4.0962	     8.76726	 0	[(0, 35)]
 36	  0	 19	           0	     4.11146	      8.7487	 0	[(0, 36)]
 37	 34	  2	           0	     3.71561	    0.298159	 1	[(34, 37)]
 38	 34	  4	           0	     2.24496	    0.291348	 1	[(34, 38)]
 39	 34	  6	           0	     4.69771	     5.26758	 0	[(34, 39)]
 40	 34	  7	           0	     4.76911	     5.81048	 0	[(34, 40)]
 41	 34	  8	           0	     4.76384	      6.3222	 0	[(34, 41)]
 42	 34	  9	           0	     4.76986	     6.85506	 0	[(34, 42)]
 43	 34	 10	           0	     4.51096	     8.45913	 0	[(34, 43)]
 44	 34	 11	           0	      4.5043	     9.29289	 0	[(34, 44)]
 45	 34	 12	           0	     4.31763	     10.1493	 0	[(34, 45)]
 46	 34	 13	           0	     4.85665	     9.62457	 0	[(34, 46)]
 47	 34	 14	           0	     4.98319	     9.11221	 0	[(34, 47)]
 48	 34	 15	           0	     8.37356	     9.09536	 1	[(34, 48)]
 49	 34	 15	           0	     8.37356	     9.09536	 1	[(34, 49)]
 50	 34	 15	           0	     8.37356	     9.09536	 1	[(34, 50)]
 51	 48	  2	           0	     3.71144	    0.307417	 1	[(48, 51)]
 52	 48	  4	           0	     2.24686	      0.2925	 1	[(48, 52)]
 53	 48	  6	           0	     4.48545	     5.23181	 0	[(48, 53)]
 54	 48	  7	           0	     4.46696	      5.7466	 0	[(48, 54)]
 55	 48	  8	           0	     4.43398	     6.25507	 0	[(48, 55)]
 56	 48	  9	           0	       4.469	     7.22983	 0	[(48, 56)]
 57	 48	 10	           0	     4.51897	     8.32784	 0	[(48, 57)]
 58	 48	 11	           0	     4.39063	     9.45648	 0	[(48, 58)]
 59	 48	 12	           0	     4.11103	     10.6203	 0	[(48, 59)]
 60	 48	 13	           0	     3.58151	     11.7923	 0	[(48, 60)]
 61	 48	 14	           0	     3.20347	     12.8013	 0	[(48, 61)]
 62	 48	 15	           0	     3.75341	     13.0326	 0	[(48, 62)]
 63	 48	 16	           0	     4.08639	     12.6308	 0	[(48, 63)]
 64	 48	 16	           0	     4.08639	     12.6308	 0	[(48, 64)]
 65	 48	 16	           0	     4.08639	     12.6308	 0	[(48, 65)]
 66	 48	 16	           0	     4.08639	     12.6308	 0	[(48, 66)]
 67	 48	 18	           0	     3.99909	     12.6098	 0	[(48, 67)]
 68	 48	 18	           0	     3.99909	     12.6098	 0	[(48, 68)]
 69	 48	 18	           0	     3.99909	     12.6098	 0	[(48, 69)]
 70	 48	 18	           0	     3.99909	     12.6098	 0	[(48, 70)]
 71	 48	 18	           0	     3.99909	     12.6098	 0	[(48, 71)]
 72	 48	 18	           0	     3.99909	     12.6098	 0	[(48, 72)]
 73	 48	 18	           0	     3.99909	     12.6098	 0	[(48, 73)]
 74	 48	 18	           0	     3.99909	     12.6098	 0	[(48, 74)]
 75	 70	  4	           0	     4.03055	    0.265519	 1	[(70, 75)]
 76	 70	  6	           0	     2.22481	    0.270328	 1	[(70, 76)]
 77	 48	 26	           0	     3.82607	     12.7892	 0	[(48, 77)]
 78	 70	  9	           0	     4.54799	     5.85553	 0	[(70, 78)]
 79	 70	 10	           0	     4.35043	     6.20594	 0	[(70, 79)]
 80	 70	 10	           0	     4.35043	     6.20594	 0	[(70, 80)]
 81	 70	 10	           0	     4.35043	     6.20594	 0	[(70, 81)]
 82	 70	 11	           0	     3.06331	     7.57596	 0	[(70, 82)]
 83	 70	 13	           0	     3.45928	     9.43446	 0	[(70, 83)]
 84	 70	 15	           0	     5.70851	     10.0486	 0	[(70, 84)]
 85	 70	 15	           0	     5.70851	     10.0486	 0	[(70, 85)]
 86	 70	 15	           0	     5.70851	     10.0486	 0	[(70, 86)]
 87	 70	 16	           0	     5.53995	     10.4012	 0	[(70, 87)]
 88	 70	 17	           0	     5.54799	     10.3897	 0	[(70, 88)]
 89	 70	 17	           0	     5.54799	     10.3897	 0	[(70, 89)]
 90	 70	 17	           0	     5.54799	     10.3897	 0	[(70, 90)]
 91	 70	 17	           0	     5.54799	     10.3897	 0	[(70, 91)]
 92	 89	  2	           0	     3.71356	    0.302679	 1	[(89, 92)]
 93	 89	  4	           0	     2.26573	    0.304478	 1	[(89, 93)]
 94	 89	  6	           0	     3.90259	     5.08878	 0	[(89, 94)]
 95	 89	  7	           0	     3.79504	      5.6143	 0	[(89, 95)]
 96	 89	  8	           0	     3.64253	     6.83459	 0	[(89, 96)]
 97	 89	  9	           0	     3.39911	     7.98526	 0	[(89, 97)]
 98	 89	 10	           0	     3.97551	     7.89623	 0	[(89, 98)]
 99	 89	 11	           0	     4.03025	     8.22524	 0	[(89, 99)]
100	 89	 12	           0	     4.07595	     8.08272	 0	[(89, 100)]
101	 89	 13	           0	     4.13107	     7.55964	 0	[(89, 101)]
102	 89	 14	           0	     4.12417	     7.52819	 0	[(89, 102)]
103	 89	 15	           0	     5.00978	     12.4065	 0	[(89, 103)]
104	 89	 16	           0	     5.34571	     14.0302	 0	[(89, 104)]
105	 89	 17	           0	     5.40125	     15.1455	 0	[(89, 105)]
106	 89	 18	           0	     5.34738	     16.0889	 0	[(89, 106)]
107	 89	 19	           0	     5.11501	     17.3454	 0	[(89, 107)]
108	 89	 20	           0	     5.07434	     18.3374	 0	[(89, 108)]
109	 89	 21	           0	     5.03025	      19.282	 0	[(89, 109)]
110	 89	 22	           0	     4.97442	     20.2016	 0	[(89, 110)]
111	 89	 23	           0	     4.95096	     21.1682	 0	[(89, 111)]
112	 89	 24	           0	     4.93094	     22.1459	 0	[(89, 112)]
113	 89	 25	           0	     4.73221	     23.2722	 0	[(89, 113)]
114	 89	 26	           0	     4.68585	      24.241	 0	[(89, 114)]
115	 89	 27	           0	     4.64694	     25.1913	 0	[(89, 115)]
116	 89	 28	           0	     4.59906	     26.1235	 0	[(89, 116)]
117	 89	 29	           0	     5.10609	     25.4533	 0	[(89, 117)]
118	 89	 29	           0	     5.10609	     25.4533	 0	[(89, 118)]
119	 89	 30	           0	     4.96621	     25.6526	 0	[(89, 119)]
120	 89	 30	           0	     4.96621	     25.6526	 0	[(89, 120)]
121	 89	 30	           0	     4.96621	     25.6526	 0	[(89, 121)]
122	 89	 31	           0	     4.82508	     25.8289	 0	[(89, 122)]
123	 89	 33	           0	     4.83025	     25.8247	 0	[(89, 123)]
124	 89	 33	           0	     4.83025	     25.8247	 0	[(89, 124)]
125	 89	 33	           0	     4.83025	     25.8247	 0	[(89, 125)]
126	 89	 33	           0	     4.83025	     25.8247	 0	[(89, 126)]
127	 89	 33	           0	     4.83025	     25.8247	 0	[(89, 127)]
128	 89	 33	           0	     4.83025	     25.8247	 0	[(89, 128)]
129	 89	 33	           0	     4.83025	     25.8247	 0	[(89, 129)]
130	 89	 34	           0	     4.64596	     25.9993	 0	[(89, 130)]
131	 89	 34	           0	     4.64596	     25.9993	 0	[(89, 131)]
132	 89	 35	           0	     4.37213	      26.248	 0	[(89, 132)]
133	 89	 36	           0	     4.34397	     26.3251	 0	[(89, 133)]
134	 89	 37	           0	     4.38681	     26.2893	 0	[(89, 134)]
135	 89	 38	           0	     4.40889	     26.2607	 0	[(89, 135)]
136	 89	 38	           0	     4.40889	     26.2607	 0	[(89, 136)]
137	 89	 38	           0	     4.40889	     26.2607	 0	[(89, 137)]
138	 89	 39	           0	     12.3603	     26.3818	 1	[(89, 138)]
139	 89	 39	           0	     12.3603	     26.3818	 1	[(89, 139)]
140	137	  2	           0	     3.74484	    0.240719	 1	[(137, 140)]
141	137	  4	           0	     2.26185	    0.273713	 1	[(137, 141)]
142	137	  6	    -0.14746	    -0.14746	    0.152774	 0	[(137, 142)]
143	137	  7	   -0.160274	   -0.160274	    0.166164	 0	[(137, 143)]
144	137	  8	   -0.160274	     5.13371	     6.13286	 0	[(137, 144)]
145	137	  9	   -0.160274	     5.01225	     6.53927	 0	[(137, 145)]
146	137	 10	   -0.160274	     4.82601	      6.9696	 0	[(137, 146)]
147	137	 11	   -0.160274	     4.80535	     7.95868	 0	[(137, 147)]
148	137	 12	   -0.160274	     4.82011	     8.86276	 0	[(137, 148)]
149	137	 12	   -0.160274	     4.82011	     8.86276	 0	[(137, 149)]
150	137	 13	   -0.160274	     4.67493	     8.99961	 0	[(137, 150)]
151	137	 13	   -0.160274	     4.67493	     8.99961	 0	[(137, 151)]
152	137	 13	   -0.160274	     4.67493	     8.99961	 0	[(137, 152)]
153	137	 14	   -0.160274	      4.4995	     9.17325	 0	[(137, 153)]
154	137	 14	   -0.160274	      4.4995	     9.17325	 0	[(137, 154)]
155	137	 15	   -0.160274	     4.19329	     9.66273	 0	[(137, 155)]
156	137	 15	   -0.160274	     4.19329	     9.66273	 0	[(137, 156)]
157	137	 16	   -0.160274	     3.82234	     10.2335	 0	[(137, 157)]
158	137	 16	   -0.160274	     3.82234	     10.2335	 0	[(137, 158)]
159	137	 17	   -0.160274	     3.63356	     10.5139	 0	[(137, 159)]
160	137	 17	   -0.160274	     3.63356	     10.5139	 0	[(137, 160)]
161	137	 19	   -0.160274	     3.83129	      10.214	 0	[(137, 161)]
