L	Ls	nvertices	F_L	F_L_constrained	rho_sum	nloops	regions
  0	  0	  0	           0	           0	           0	 0	[(0, 0)]
  1	  0	  0	           0	           0	           0	 0	[(0, 1)]
  2	  0	  0	           0	           0	           0	 0	[(0, 2)]
  3	  0	  0	           0	           0	           0	 0	[(0, 3)]
  4	  0	  0	           0	           0	           0	 0	[(0, 4)]
  5	  0	  3	   -0.266179	   -0.266179	    0.276604	 0	[(0, 5)]
  6	  0	  3	   -0.266179	   -0.266179	    0.276604	 0	[(0, 6)]
  7	  0	  3	   -0.266179	   -0.266179	    0.276604	 0	[(0, 7)]
  8	  0	  3	   -0.266179	   -0.266179	    0.276604	 0	[(0, 8)]
  9	  0	  6	   -0.368782	   -0.368782	    0.373361	 0	[(0, 9)]
 10	  0	  7	   -0.368782	   -0.366343	    0.382215	 0	[(0, 10)]
 11	  0	  7	   -0.368782	   -0.366343	    0.382215	 0	[(0, 11)]
 12	  0	  8	   -0.368782	     1.73118	    0.502849	 1	[(0, 12)]
 13	  9	  4	   -0.368782	    -0.25761	    0.274153	 0	[(9, 13)]
 14	  0	 11	   -0.388237	   -0.388237	    0.405149	 0	[(0, 14)]
 15	  0	 12	   -0.388237	     3.36792	     5.37677	 0	[(0, 15)]
 16	  0	 13	   -0.388237	     3.32488	     6.24719	 0	[(0, 16)]
 17	  0	 14	   -0.388237	      1.5874	     7.77838	 0	[(0, 17)]
 18	  0	 15	   -0.388237	    0.940363	     8.71357	 0	[(0, 18)]
 19	  0	 16	   -0.388237	    0.664887	     9.61475	 0	[(0, 19)]
 20	  0	 17	   -0.388237	   -0.071413	     10.6146	 0	[(0, 20)]
 21	  0	 18	   -0.388237	    -0.27433	     11.4968	 0	[(0, 21)]
 22	  0	 19	     -1.0929	     -1.0929	     12.6302	 0	[(0, 22)]
 23	  0	 20	    -2.16784	    -2.16784	     13.7046	 0	[(0, 23)]
 24	  0	 21	    -2.24135	    -2.24135	     14.5402	 0	[(0, 24)]
 25	  0	 22	    -3.26044	    -3.26044	     15.6399	 0	[(0, 25)]
 26	  0	 23	    -3.29207	    -3.29207	     16.4121	 0	[(0, 26)]
 27	  0	 24	    -4.56962	    -4.56962	     17.6561	 0	[(0, 27)]
 28	  0	 25	    -4.60872	    -4.60872	      18.428	 0	[(0, 28)]
 29	  0	 26	    -4.60872	    -3.98382	     18.4312	 0	[(0, 29)]
 30	  0	 27	    -4.60872	    -3.76654	     18.1524	 0	[(0, 30)]
 31	  0	 28	    -4.60872	     -3.7522	      18.097	 0	[(0, 31)]
 32	  0	 28	    -4.60872	     -3.7522	      18.097	 0	[(0, 32)]
 33	  0	 28	    -4.60872	     -3.7522	      18.097	 0	[(0, 33)]
 34	  0	 28	    -4.60872	     -3.7522	      18.097	 0	[(0, 34)]
 35	  0	 30	    -4.60872	    -3.88841	     18.2214	 0	[(0, 35)]
 36	  0	 32	    -4.60872	    -3.89632	     18.2384	 0	[(0, 36)]
 37	  0	 34	    -4.60872	    -3.82097	     18.1599	 0	[(0, 37)]
 38	  0	 34	    -4.60872	    -3.82097	     18.1599	 0	[(0, 38)]
 39	  0	 34	    -4.60872	    -3.82097	     18.1599	 0	[(0, 39)]
 40	  0	 35	    -4.60872	    -3.94943	     18.2821	 0	[(0, 40)]
 41	  0	 35	    -4.60872	    -3.94943	     18.2821	 0	[(0, 41)]
 42	  0	 37	    -4.60872	-0.000825631	     18.5013	 1	[(0, 42)]
 43	  0	 39	    -4.60872	     2.08736	     22.2871	 1	[(0, 43)]
 44	  0	 40	    -4.60872	     2.79974	     22.7817	 1	[(0, 44)]
 45	  0	 41	    -4.60872	     3.21817	     23.0239	 1	[(0, 45)]
 46	  0	 41	    -4.60872	     3.21817	     23.0239	 1	[(0, 46)]
 47	  0	 41	    -4.60872	     3.21817	     23.0239	 1	[(0, 47)]
 48	  0	 41	    -4.60872	     3.21817	     23.0239	 1	[(0, 48)]
 49	  0	 41	    -4.60872	     3.21817	     23.0239	 1	[(0, 49)]
 50	  0	 41	    -4.60872	     3.21817	     23.0239	 1	[(0, 50)]
 51	  0	 41	    -4.60872	     3.21817	     23.0239	 1	[(0, 51)]
 52	  0	 41	    -4.60872	     3.21817	     23.0239	 1	[(0, 52)]
 53	  0	 42	    -4.60872	     3.08568	     23.1535	 1	[(0, 53)]
 54	  0	 44	    -4.60872	     3.09583	      23.161	 1	[(0, 54)]
 55	  0	 45	    -4.60872	     3.10971	     23.1389	 1	[(0, 55)]
 56	  0	 46	    -4.60872	     3.10422	     23.1452	 1	[(0, 56)]
 57	  0	 46	    -4.60872	     3.10422	     23.1452	 1	[(0, 57)]
 58	  0	 46	    -4.60872	     3.10422	     23.1452	 1	[(0, 58)]
 59	  0	 46	    -4.60872	     3.10422	     23.1452	 1	[(0, 59)]
 60	  0	 47	    -4.60872	     2.97688	     23.2676	 1	[(0, 60)]
 61	  0	 48	    -4.60872	     2.96962	     23.2797	 1	[(0, 61)]
 62	  0	 50	    -4.60872	     2.97766	      23.277	 1	[(0, 62)]
 63	 59	 41	    -4.60872	   -0.262553	     18.7845	 1	[(0, 42), (59, 63)]
 64	  0	 53	    -4.60872	     2.78831	     23.4509	 1	[(0, 64)]
 65	 59	 44	    -4.60872	     4.18562	     24.0431	 1	[(0, 42), (59, 65)]
 66	 59	 45	    -4.60872	     3.53382	     25.1152	 1	[(0, 42), (59, 66)]
 67	 59	 46	    -4.60872	     3.33683	     26.1177	 1	[(0, 42), (59, 67)]
 68	 59	 47	    -4.60872	     3.29943	     26.9642	 1	[(0, 42), (59, 68)]
 69	 59	 48	    -4.60872	     3.08583	     27.8925	 1	[(0, 42), (59, 69)]
 70	 59	 49	    -4.60872	     2.63225	     29.0429	 1	[(0, 42), (59, 70)]
 71	 59	 50	    -4.60872	     2.21925	     30.1334	 1	[(0, 42), (59, 71)]
 72	 59	 51	    -4.60872	     1.83903	     31.1347	 1	[(0, 42), (59, 72)]
 73	 59	 52	    -4.60872	     1.90635	     31.8851	 1	[(0, 42), (59, 73)]
 74	 59	 53	    -4.60872	     1.90546	     32.6856	 1	[(0, 42), (59, 74)]
 75	 59	 53	    -4.60872	     1.90546	     32.6856	 1	[(0, 42), (59, 75)]
 76	 59	 53	    -4.60872	     1.90546	     32.6856	 1	[(0, 42), (59, 76)]
 77	 59	 53	    -4.60872	     1.90546	     32.6856	 1	[(0, 42), (59, 77)]
 78	 59	 53	    -4.60872	     1.90546	     32.6856	 1	[(0, 42), (59, 78)]
 79	 59	 53	    -4.60872	     1.90546	     32.6856	 1	[(0, 42), (59, 79)]
 80	 59	 53	    -4.60872	     1.90546	     32.6856	 1	[(0, 42), (59, 80)]
 81	 59	 53	    -4.60872	     1.90546	     32.6856	 1	[(0, 42), (59, 81)]
 82	 59	 53	    -4.60872	     1.90546	     32.6856	 1	[(0, 42), (59, 82)]
 83	 59	 53	    -4.60872	     1.90546	     32.6856	 1	[(0, 42), (59, 83)]
 84	 59	 53	    -4.60872	     1.90546	     32.6856	 1	[(0, 42), (59, 84)]
 85	 59	 53	    -4.60872	     1.90546	     32.6856	 1	[(0, 42), (59, 85)]
 86	 79	 40	    -4.60872	     3.95808	     18.8661	 2	[(0, 42), (79, 86)]
 87	 79	 42	    -4.60872	     5.05978	     21.8053	 2	[(0, 42), (79, 87)]
 88	 79	 44	    -4.60872	     5.17252	     24.5136	 2	[(0, 42), (79, 88)]
 89	 79	 46	    -4.60872	     6.41266	     25.3071	 2	[(0, 42), (79, 89)]
 90	 79	 47	    -4.60872	     6.88691	     25.0124	 2	[(0, 42), (79, 90)]
 91	 79	 47	    -4.60872	     6.88691	     25.0124	 2	[(0, 42), (79, 91)]
 92	 79	 47	    -4.60872	     6.88691	     25.0124	 2	[(0, 42), (79, 92)]
 93	 89	 39	    -4.60872	     3.69317	      18.851	 2	[(0, 42), (89, 93)]
 94	 89	 42	    -4.60872	     3.18345	     21.8927	 2	[(0, 42), (89, 94)]
 95	 89	 44	    -4.60872	     1.63829	      24.376	 1	[(0, 42), (89, 95)]
 96	 89	 45	    -4.60872	     2.40974	     24.6184	 1	[(0, 42), (89, 96)]
 97	 89	 46	    -4.60872	     2.79479	       24.51	 1	[(0, 42), (89, 97)]
 98	 89	 47	    -4.60872	     2.85467	     24.3969	 1	[(0, 42), (89, 98)]
 99	 76	 59	    -4.60872	     1.94999	     38.2917	 2	[(0, 42), (76, 99)]
100	 76	 59	    -4.60872	     1.94999	     38.2917	 2	[(0, 42), (76, 100)]
101	 76	 59	    -4.60872	     1.94999	     38.2917	 2	[(0, 42), (76, 101)]
102	 76	 59	    -4.60872	     1.94999	     38.2917	 2	[(0, 42), (76, 102)]
103	 76	 59	    -4.60872	     1.94999	     38.2917	 2	[(0, 42), (76, 103)]
104	 76	 59	    -4.60872	     1.94999	     38.2917	 2	[(0, 42), (76, 104)]
105	 76	 61	    -4.60872	     1.69394	      38.534	 2	[(0, 42), (76, 105)]
106	 76	 61	    -4.60872	     1.69394	      38.534	 2	[(0, 42), (76, 106)]
107	 76	 61	    -4.60872	     1.69394	      38.534	 2	[(0, 42), (76, 107)]
108	 76	 61	    -4.60872	     1.69394	      38.534	 2	[(0, 42), (76, 108)]
109	 76	 61	    -4.60872	     1.69394	      38.534	 2	[(0, 42), (76, 109)]
110	 76	 61	    -4.60872	     1.69394	      38.534	 2	[(0, 42), (76, 110)]
