L	Ls	nvertices	F_L	F_L_constrained	rho_sum	nloops	regions
 61	  0	  0	           0	           0	           0	 0	[(0, 61)]
 62	  0	  0	           0	           0	           0	 0	[(0, 62)]
 63	  0	  0	           0	           0	           0	 0	[(0, 63)]
 64	  0	  2	           0	     3.70801	    0.315249	 1	[(0, 64)]
 65	  0	  4	           0	     2.25371	    0.303918	 1	[(0, 65)]
 66	  0	  6	           0	      3.8714	     5.08385	 0	[(0, 66)]
 67	  0	  7	           0	     3.72549	     5.57983	 0	[(0, 67)]
 68	  0	  8	           0	     3.52526	     6.88659	 0	[(0, 68)]
 69	  0	  9	           0	     3.27689	     7.98888	 0	[(0, 69)]
 70	  0	 10	           0	     2.85822	     9.06818	 0	[(0, 70)]
 71	  0	 11	           0	     2.57246	     10.0525	 0	[(0, 71)]
 72	  0	 12	           0	     2.21626	     11.0608	 0	[(0, 72)]
 73	  0	 13	           0	     1.92308	     12.0254	 0	[(0, 73)]
 74	  0	 14	           0	     1.64744	     13.0056	 0	[(0, 74)]
 75	  0	 15	           0	     1.51624	     13.9123	 0	[(0, 75)]
 76	  0	 16	           0	    0.783902	     15.0876	 0	[(0, 76)]
 77	  0	 17	           0	   0.0658401	     16.1705	 0	[(0, 77)]
 78	  0	 18	   -0.173386	   -0.173386	     17.0917	 0	[(0, 78)]
 79	  0	 19	   -0.568062	   -0.568062	     18.0394	 0	[(0, 79)]
 80	  0	 20	   -0.954779	   -0.954779	     19.0078	 0	[(0, 80)]
 81	  0	 21	    -1.39108	    -1.39108	     20.0438	 0	[(0, 81)]
 82	  0	 22	    -1.69098	    -1.69098	     21.0038	 0	[(0, 82)]
 83	  0	 23	    -1.97933	    -1.97933	     21.9663	 0	[(0, 83)]
 84	  0	 24	    -2.34129	    -2.34129	     22.9651	 0	[(0, 84)]
 85	  0	 25	    -2.62127	    -2.62127	     23.9456	 0	[(0, 85)]
 86	  0	 26	    -2.97306	    -2.97306	     24.9585	 0	[(0, 86)]
 87	  0	 27	    -3.58097	    -3.58097	      26.039	 0	[(0, 87)]
 88	  0	 28	     -3.8885	     -3.8885	     26.9983	 0	[(0, 88)]
 89	  0	 29	    -4.18429	    -4.18429	     27.9513	 0	[(0, 89)]
 90	  0	 30	    -4.71998	    -4.71998	     28.9857	 0	[(0, 90)]
 91	  0	 31	    -5.34389	    -5.34389	     30.0491	 0	[(0, 91)]
 92	  0	 32	     -5.5574	     -5.5574	     30.8856	 0	[(0, 92)]
 93	  0	 33	     -5.5574	    -5.22001	     31.2923	 0	[(0, 93)]
 94	  0	 33	     -5.5574	    -5.22001	     31.2923	 0	[(0, 94)]
 95	  0	 33	     -5.5574	    -5.22001	     31.2923	 0	[(0, 95)]
 96	  0	 34	     -5.5574	    -1.84297	     32.5349	 1	[(0, 96)]
 97	  0	 36	     -5.5574	    -4.31923	     34.5264	 1	[(0, 97)]
 98	  0	 38	     -5.5574	    -5.15171	     36.7618	 0	[(0, 98)]
 99	  0	 39	    -6.00653	    -6.00653	     37.8194	 0	[(0, 99)]
100	  0	 40	    -7.83273	    -7.83273	     38.8863	 0	[(0, 100)]
101	  0	 41	     -8.6242	     -8.6242	      39.838	 0	[(0, 101)]
102	  0	 42	    -9.24928	    -9.24928	     40.7757	 0	[(0, 102)]
103	  0	 43	     -10.202	     -10.202	     41.7741	 0	[(0, 103)]
104	  0	 44	    -10.6946	    -10.6946	     42.7066	 0	[(0, 104)]
105	  0	 45	     -11.027	     -11.027	      43.621	 0	[(0, 105)]
106	  0	 46	    -11.3485	    -11.3485	      44.537	 0	[(0, 106)]
107	  0	 47	     -11.974	     -11.974	     45.6084	 0	[(0, 107)]
108	  0	 48	    -12.5722	    -12.5722	     46.6556	 0	[(0, 108)]
109	  0	 49	    -13.7537	    -13.7537	     47.7812	 0	[(0, 109)]
110	  0	 50	    -13.9702	    -13.9702	     48.6293	 0	[(0, 110)]
111	  0	 51	    -13.9702	    -13.4104	     48.8454	 0	[(0, 111)]
112	  0	 51	    -13.9702	    -13.4104	     48.8454	 0	[(0, 112)]
113	  0	 51	    -13.9702	    -13.4104	     48.8454	 0	[(0, 113)]
114	  0	 52	    -13.9702	    -9.07946	     48.9783	 1	[(0, 114)]
115	  0	 52	    -13.9702	    -9.07946	     48.9783	 1	[(0, 115)]
116	  0	 52	    -13.9702	    -9.07946	     48.9783	 1	[(0, 116)]
117	  0	 52	    -13.9702	    -9.07946	     48.9783	 1	[(0, 117)]
118	  0	 55	    -13.9702	    -6.59063	     49.1507	 2	[(0, 118)]
119	  0	 57	    -13.9702	    -8.57839	     49.1352	 2	[(0, 119)]
120	  0	 59	    -13.9702	     -5.3093	     54.5068	 1	[(0, 120)]
121	  0	 60	    -13.9702	    -6.07207	     54.7781	 1	[(0, 121)]
122	  0	 61	    -13.9702	    -6.74649	     55.6941	 1	[(0, 122)]
123	  0	 62	    -13.9702	    -7.35938	     57.0236	 1	[(0, 123)]
124	  0	 63	    -13.9702	    -8.13375	     58.0548	 1	[(0, 124)]
125	  0	 64	    -13.9702	    -9.03658	     59.0879	 1	[(0, 125)]
126	  0	 65	    -13.9702	    -9.72961	     60.0723	 1	[(0, 126)]
127	  0	 66	    -13.9702	    -10.0856	     60.9713	 1	[(0, 127)]
128	  0	 67	    -13.9702	    -11.0384	     62.0346	 1	[(0, 128)]
129	  0	 68	    -13.9702	     -12.487	     63.1372	 1	[(0, 129)]
130	  0	 69	    -13.9702	    -13.5511	     64.1625	 1	[(0, 130)]
131	  0	 70	    -14.6427	    -14.6427	     65.1756	 1	[(0, 131)]
132	  0	 71	    -15.3112	    -15.3112	      66.096	 1	[(0, 132)]
133	  0	 72	    -15.6783	    -15.6783	     66.9786	 1	[(0, 133)]
134	  0	 73	    -15.6783	    -15.0234	     67.0496	 1	[(0, 134)]
135	  0	 73	    -15.6783	    -15.0234	     67.0496	 1	[(0, 135)]
136	  0	 74	    -15.6783	    -15.2909	     67.4087	 1	[(0, 136)]
137	  0	 74	    -15.6783	    -15.2909	     67.4087	 1	[(0, 137)]
138	  0	 74	    -15.6783	    -15.2909	     67.4087	 1	[(0, 138)]
139	  0	 75	    -15.6783	    -15.4332	     67.5604	 1	[(0, 139)]
140	  0	 75	    -15.6783	    -15.4332	     67.5604	 1	[(0, 140)]
141	  0	 76	    -16.2414	    -16.2414	     68.2041	 1	[(0, 141)]
142	  0	 77	    -16.2414	    -15.9996	     68.1521	 1	[(0, 142)]
143	  0	 79	    -16.2414	    -15.5402	     67.6989	 1	[(0, 143)]
144	  0	 80	    -16.2414	    -15.5485	     67.7032	 1	[(0, 144)]
145	  0	 81	    -16.2414	     -15.561	     67.7161	 1	[(0, 145)]
146	  0	 81	    -16.2414	     -15.561	     67.7161	 1	[(0, 146)]
147	  0	 82	    -16.2414	    -8.61645	     67.8402	 2	[(0, 147)]
148	  0	 82	    -16.2414	    -8.61645	     67.8402	 2	[(0, 148)]
149	  0	 83	    -16.2414	     -6.8576	     68.1371	 3	[(0, 149)]
150	  0	 84	    -16.2414	    -6.65467	     68.1198	 3	[(0, 150)]
151	  0	 87	    -16.2414	    -8.58282	     67.8339	 2	[(0, 151)]
152	  0	 88	    -16.2414	    -5.71194	     72.9033	 2	[(0, 152)]
153	  0	 89	    -16.2414	    -6.44863	     73.1599	 2	[(0, 153)]
154	  0	 90	    -16.2414	    -6.70885	     74.5446	 2	[(0, 154)]
155	  0	 91	    -16.2414	    -7.33246	     75.6487	 2	[(0, 155)]
156	  0	 92	    -16.2414	    -8.90562	     76.7946	 2	[(0, 156)]
157	  0	 93	    -16.2414	    -10.2631	     77.8671	 2	[(0, 157)]
158	  0	 94	    -16.2414	    -10.4956	     78.7063	 2	[(0, 158)]
159	  0	 95	    -16.2414	    -10.8446	     79.5782	 2	[(0, 159)]
160	  0	 96	    -16.2414	    -10.2546	     79.6284	 2	[(0, 160)]
161	  0	 97	    -16.2414	    -9.99392	     79.2994	 2	[(0, 161)]
162	  0	 98	    -16.2414	    -6.79955	     79.2307	 3	[(0, 162)]
163	  0	 98	    -16.2414	    -6.79955	     79.2307	 3	[(0, 163)]
164	  0	 98	    -16.2414	    -6.79955	     79.2307	 3	[(0, 164)]
165	  0	 98	    -16.2414	    -6.79955	     79.2307	 3	[(0, 165)]
166	  0	 98	    -16.2414	    -6.79955	     79.2307	 3	[(0, 166)]
167	  0	 98	    -16.2414	    -6.79955	     79.2307	 3	[(0, 167)]
168	  0	102	    -16.2414	    -3.36972	     80.4117	 4	[(0, 168)]
